	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
3245	40310	13974	blcbrl	emnzdgz	whats a problem you and your ancestors from 4000 years ago share?	eating hole = breathing hole
3246	40310	4345	blcbrl	emnlf5c	whats a problem you and your ancestors from 4000 years ago share?	fire hot.
3247	40310	13946	blcbrl	emnw8fo	whats a problem you and your ancestors from 4000 years ago share?	going bald. fuck you genetics, i'm 17.
3248	40310	5109	blcbrl	emnlsbh	whats a problem you and your ancestors from 4000 years ago share?	without any tools, most of nature could maul me to death.
3249	40310	40830	blcbrl	emng7bw	whats a problem you and your ancestors from 4000 years ago share?	mosquitos.
3250	40310	17880	blcbrl	emnock1	whats a problem you and your ancestors from 4000 years ago share?	colorblindness making it difficult to tell if meat is thoroughly cooked, hard to spot sunburns, skin discoloration, vegetable ripeness, etc. probably made things harder for my ancestor than me, but still. just had to pass it on, didn't you grandpa?
3251	40310	56019	blcbrl	emnojla	whats a problem you and your ancestors from 4000 years ago share?	mom still makes me get home by sundown so the predators dont get me
3252	40310	21412	blcbrl	emnlxil	whats a problem you and your ancestors from 4000 years ago share?	scottish weather is shite now, it was shite back then too. scottish hills are still annoying to climb. the sea is still too cold. midges are still irritating af.
3253	40310	4511	blcbrl	emngdqx	whats a problem you and your ancestors from 4000 years ago share?	not being able to speak any comprehensible language, and just mumbling about things that nobody else can understand.
3254	40310	14043	blcbrl	emnfwdk	whats a problem you and your ancestors from 4000 years ago share?	that itchy spot you just can't reach
3255	40310	1358	blcbrl	emnefjt	whats a problem you and your ancestors from 4000 years ago share?	waiting for the sequel to gilgamesh. its gonna be huge!
3256	40310	6847	blcbrl	emne1qm	whats a problem you and your ancestors from 4000 years ago share?	having to go all the way to the carpathian mountains to get gold to make a proper sun disc.
3257	40310	2666	blcbrl	emnbc8b	whats a problem you and your ancestors from 4000 years ago share?	"hypermobility. it's a genetic disorder, so. that's all i got. edit: for everyone who says this sounds like an advantage/superpower, i'm going to paste my reply to the first person who said that. ""spoken like someone who doesn't have to pop their shoulders and hips back into their joints every morning if they fall asleep on their side, and who isn't going to need multiple elbow surgeries before they're 30. :( at least i never need a back scratcher though i suppose."" seriously, look up hypermobility, and connective tissue disorders. they're not a fun time, and severe ones can be quite dangerous."
3258	40310	16110	blcbrl	emn8mxy	whats a problem you and your ancestors from 4000 years ago share?	we look the same edit: ugly
3259	40310	21480	blcbrl	emn8xa7	whats a problem you and your ancestors from 4000 years ago share?	menstruation
3260	40310	4911	blcbrl	emngv8k	whats a problem you and your ancestors from 4000 years ago share?	annoying cow lick, no matter what it never says down.
3261	40310	8826	blcbrl	emngkm8	whats a problem you and your ancestors from 4000 years ago share?	that moment of blinding, nausea-inducing pain when you stub your toe.
3262	40310	2201	blcbrl	emndnwc	whats a problem you and your ancestors from 4000 years ago share?	keeping track of all 3600 deities in the anunna pantheon.
