	submission score	comment score	submission id	comment id	title (string #1)	comment (string#2)
6280	29117	6431	bncqlb	en4pxcp	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	"mission impossible. ""sir, this mission is impossible."" ""ok let's go home"""
6281	29117	24298	bncqlb	en4hp28	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the silence of the lambs
6282	29117	15415	bncqlb	en4kqq9	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the rock
6283	29117	14389	bncqlb	en4f7vh	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	50 shades of grey
6284	29117	5357	bncqlb	en4m0gm	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	meet joe black hi. (fin)
6285	29117	16081	bncqlb	en4hvq1	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	silent hill
6286	29117	25806	bncqlb	en4n6hx	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the fifth element - it would be a two hours long movie about boron.
6287	29117	4892	bncqlb	en4izto	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	rush hour
6288	29117	12290	bncqlb	en4hijc	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	men who stare at goats
6289	29117	17502	bncqlb	en4lisi	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	"""gone in 60 seconds"" it's just the movie ""gone"" compressed into 60 seconds."
6290	29117	19126	bncqlb	en4et42	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	"law abiding citizen. ""local man pays his taxes and goes to the grocery store on sunday to buy ground beef that is on sale."""
6291	29117	16508	bncqlb	en4je3s	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the green mile
6292	29117	4241	bncqlb	en4fcs2	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	127 hours
6293	29117	6952	bncqlb	en4ip4o	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	a quiet place
6294	29117	2167	bncqlb	en4kyct	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	ordinary people
6295	29117	1294	bncqlb	en4kjtk	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	waiting
6296	29117	2542	bncqlb	en4s2a4	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	night at the museum
6297	29117	10935	bncqlb	en4kiqm	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	home alone: 90 minutes of a guy on a couch watching tv and playing on his phone.
6298	29117	1159	bncqlb	en4okfv	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	milk. just an hour-long still shot of a cold glass of milk.
6299	29117	2690	bncqlb	en4ivl5	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the shining. watch out. you'll need a pair of shades for this movie.
6300	29117	2151	bncqlb	en4f8k1	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	transformers- would be about a guy who goes around repairing electrical transformers.
6301	29117	2549	bncqlb	en4fces	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	much ado about nothing.
6302	29117	1292	bncqlb	en4gg76	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	friday the 13th
6303	29117	1731	bncqlb	en4jxag	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	mib- it's just an hour of a half of men being dressed in black suits going about their day.
6304	29117	1792	bncqlb	en4f1lf	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	i'll say jaws. how many mandibles would i be forced to see in a 90 minute movie? the only excitement would be if i got to see them masticate.
6305	29117	583	bncqlb	en4izte	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	independence day. went to see the folks, ate some hot dogs, watched fireworks on tv, went home and passed out early.
6306	29117	716	bncqlb	en4fn6b	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	dead snow. just a movie about snow melting.
6307	29117	933	bncqlb	en4kra7	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	it
6308	29117	145	bncqlb	en4maeb	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	top gun. (places pistol on the top shelf)
6309	29117	287	bncqlb	en4so8x	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	neverending story
6310	29117	1083	bncqlb	en4js00	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	taken, it would never be available.
6311	29117	1149	bncqlb	en4idfn	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	vertigo. its now just about an older woman who has trouble staying upright.
6312	29117	504	bncqlb	en4sg2e	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the constant gardner - seriously, why the fuck wont this guy just stop gardening?? will you please just stop gardening for one minute and listen to me! but if i stop gardening, the plants will all die actually sounds pretty intense
6313	29117	1842	bncqlb	en4fb1y	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	birdbox can't even see the damn birds since it's a cardboard box!
6314	29117	26192	bncqlb	en4h25u	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	pitch black edit: ummmm wtf just happened? i've been fishing and come back to this!
6315	29117	673	bncqlb	en4ln8k	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the departed just 130 minutes of stock footage of a graveyard.
6316	29117	250	bncqlb	en588jr	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	get out. you take your seats and then are immediately asked to leave.
6317	29117	111	bncqlb	en4jpv5	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	goodfellas. we can finally see a nice, non-cursing joe pesci since he was in lethal weapon 4.
6318	29117	119	bncqlb	en502ag	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	room that's it. it's a room
6319	29117	1480	bncqlb	en4et1a	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	iron man - about a guy who irons.
6320	29117	864	bncqlb	en4mwuo	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	avatar: a documentary where you watch people create their online persona.
6321	29117	1333	bncqlb	en4k5qq	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	honestly, infinity war. just sitting there for years and years watching the same war go on and on and on. it would just be sad, and counterproductive and boring.
6322	29117	908	bncqlb	en4gh84	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	*schindlers list* - just 90 minutes of a man writing out his daily chores (not actually doing them, though - the film fades to black just as hes done writing).
6323	29117	369	bncqlb	en4rdi5	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	straight outta compton. they just get out of compton and thats it
6324	29117	417	bncqlb	en4o7my	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	evolution. if it was in real time.
6325	29117	339	bncqlb	en4kdfr	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the notebook
6326	29117	10243	bncqlb	en4j1mx	if movie titles were taken literally, what blockbuster film would suddenly be the most boring?	the accountant \[edit\] thank you stranger for the silver award it's very generous and i wish you the best in life. the world deserves people like you
